Orig Query,New Query,Found,Match Rank,Rank,Probability
slovak archives jewish census 1942 townships and communities slovak archives reel 3  box 189 file 2,slovzak archives rjbewish census 19d42 townships angd communities slovak archivesbvz reeyl 3l  box 189 filej 2,1,1,11,10.0
kraviany,qkkraviaorny,0,0,1,NaN
zariecie,zjmarilecpie,1,10,16,5.55555555555556
velky folkmar,vheklkyi folkkrmar,1,1,3,50.0
slavkovce,slasvkocvawce,1,4,35,4.44444444444444
cerveny kamen,cewrdqveny tkaqmen,1,1,2,100.0
zbudske dlhe,zbyzuvdske dlhme,1,14,16,5.55555555555556
zakamene,vxzakamebone,0,0,25,0.0
zemanska ludrova,zkhemafnska leudrovda,1,4,13,7.14285714285714
poprad,epopyrald,0,0,1,NaN
sedlicna,lfsendlicnya,0,0,24,0.0
rybany,ryqbozany,1,1,9,27.2727272727273
solivar,saolpiveamr,1,1,5,40.0
hontianske tesary,hnontaiansskeu ztesary,1,8,10,9.09090909090909
kralovany,nkrwalolvanxy,0,0,7,0.0
kluknava,klukknrafnva,1,8,21,7.14285714285714
vistnia polanka,visetmynia vpolaxnka,1,2,30,5.26315789473684
piestany,stppdiestany,1,1,14,12.5
habure,habetvure,1,2,30,7.84313725490196
kurima,kvoyurima,1,2,21,12.5
male hydnice,male hydcneenice,1,3,25,6.97674418604651
various places (to be established - very few),varikous plapcehs (to be establishedygp j- veryl few),1,1,3,66.6666666666667
turzovka,tuxrzovekhja,1,13,16,5.0
visnie mirkovce,viksnien mzfiqrkovce,1,6,25,6.45161290322581
belovez,pbgealovefz,0,0,3,0.0
koseca,kogsencya,1,1,21,12.1212121212121
lada,lanftda,1,6,66,2.7027027027027
cataj,caltmlaj,1,1,2,100.0
iadomirova,ibadyomirxovka,1,2,4,40.0
gbely,ygtbvely,0,0,1,NaN
nagov,nfnaagov,1,1,6,30.0
velke chlievany,vselke chxzlmizevany,1,3,13,13.3333333333333
dulvina,duhlvinwtja,1,15,17,5.26315789473684
cicmany,ccxvigcmany,1,4,7,16.6666666666667
pernek,plernsyek,1,3,6,18.1818181818182
ticinec,tyiucdignec,1,1,2,100.0
bolesov,bsolesyrgov,1,8,11,8.33333333333333
stupne,stuaspnie,1,22,35,1.61290322580645
velky sulin,vetlky zesulidn,1,2,7,14.2857142857143
podskalie,poddskanlwhie,1,1,18,8.0
slovenska lupca,yslovednsktsa luupca,0,0,1,NaN
dubinne,dreudbifnne,1,10,18,5.26315789473684
slovak archives -  jewish census 1942 townships and communities reel 4  box 190 file 3 continued,slfovak archives -  jewisoh cenksus 1942 townshipsl ando comymunisties reel 4  box 190w mfile 3o contminued,1,1,5,33.3333333333333
sokolce,snlpoukolce,1,4,35,4.8780487804878
pobedim,pobjwewdxim,1,1,4,50.0
velka domasa,vhelka blddomasa,1,13,30,3.03030303030303
borsky svaty peter,boorvsky snvatyw pbeter,1,2,5,33.3333333333333
revucka,trevvufckya,0,0,16,0.0
katlovce,ekklatzlovce,0,0,1,NaN
meretica,mpeykreticna,1,2,16,10.5263157894737
velke pole,vegklkex kpole,1,6,25,6.25
hatne,hzbatzne,1,11,30,4.25531914893617
namestovo,gnayemestpovo,0,0,2,0.0
solna bana,solnja banoioa,1,10,41,2.0
terchova,twerkscxhova,1,14,16,5.0
zubak,zuvqbavk,1,1,2,100.0
sastin,usasxutin,0,0,2,0.0
petrov,preztdrov,1,5,7,6.25
liptovske trnovce,jliptovaske trnowvwcme,0,0,5,0.0
ustie nad oravou,usstie nhapd oqaravou,1,1,2,100.0
velka udica,veiqlkka udinca,1,3,30,5.40540540540541
lovinobana,lovigntokabana,1,1,24,18.1818181818182
jamnik,jamnnqigk,1,1,2,100.0
rakusy,rafshkusy,1,1,9,27.2727272727273
cadca,claaodca,1,1,9,25.0
strecna,srthqrecnga,1,19,41,2.0
slovak archives  jewish census 1942 townships and communities	slovak archives reel 2  box 185 file 3,slovajk arcchives  jewish census g1942 townships danud commyunitiees	slcovak arvchives reel 2  bozx 185 nfile 3,1,8,11,10.0
hanzlikova,hamwpnzlikrova,1,2,19,8.69565217391304
turciansky svaty martin,tyurcipansky svcwpaty mwartin,1,2,4,33.3333333333333
prievoz,pruievdlboz,1,1,3,85.7142857142857
hanigovce,hyanhvigotvce,1,9,30,2.77777777777778
gocovo,sgoocoovo,0,0,3,0.0
spacince,spacyxpinmce,1,3,35,4.65116279069767
timoradza,timgoourabdza,1,3,16,9.52380952380952
topolcany,topolcendyany,1,1,8,42.1052631578947
hostovice,hosltozrvvice,1,2,30,6.12244897959184
nemcicany,nefmciczanzly,1,3,7,10.0
merasice,mlerybasiece,1,21,25,3.125
slovak archives  jewish census 1942 townships and communities	slovak archives reel 2  box 184 file 4,slovak archiveos  jewish census 1h942 townships and commumnitiesg	eslovak aprchbicvves reel 2  box s18c4 file 4,1,7,8,14.2857142857143
dolnie dubove,dolniiepr dubhovxe,1,5,18,5.26315789473684
 /t, on/tt,1,1,2,100.0
topolovka,tobpolovmkkma,1,10,16,5.0
krusovce,krtushotvche,1,16,19,4.54545454545455
zaborie,mzaubtoriee,0,0,25,0.0
slovak archives - jewish census 1942 townships and communities reel 4  box 192 file 2,slovak archives - jewisoh census 194qr2 townmsshsipsm and communitrikes reel 4  box 1w92 file 2,1,4,11,10.0
prasice,iaparashice,0,0,4,0.0
male bialice,malpev bialaiuce,1,4,25,4.76190476190476
hotkovce,hgxotehkovce,1,7,30,2.77777777777778
hatalov,vdhacytalov,0,0,7,0.0
zavada,zdavadcia,1,3,13,8.69565217391304
jablonica,jaobjplodnica,1,1,5,50.0
klcovany,zklfcovjuany,0,0,2,0.0
inacovce,innackotvtce,1,1,4,50.0
male vozokany,malhe vozbojkabeny,1,1,9,28.5714285714286
sandal,skayndeal,1,2,3,33.3333333333333
chtelnica,czhtmeltnilca,1,6,9,10.0
stavnik,stjravnoimk,1,2,8,18.1818181818182
melcice,emeelcxmice,0,0,1,NaN
hanusovce nad toplou,hanpusovcew nzad topfjlou,1,1,3,66.6666666666667
slovak archives - jewish census 1942 townships and communities reel 4  box 191 file 2,slovak archives - jewish censxus 1942 tnownyships and commuvnities reel 4e  bjoxxda 191 filej 2,1,3,11,10.0
korytne,korytnefice,1,11,19,5.55555555555556
pavlovce nad uhom,pyavsmlovce nadf vuhom,1,3,4,33.3333333333333
potoky,paotouqky,1,3,7,18.1818181818182
sulovce,sulsmoxsvce,1,4,35,4.76190476190476
dacov,dceeacov,1,1,7,20.0
jaklovce,wjakbxglovce,0,0,2,0.0
zakarovce,mzakarvohevce,0,0,25,0.0
bojna,bloiwjna,1,15,18,2.7027027027027
moranska zdychava,moraynskykia zdygchava,1,1,16,10.0
slovak archives jewish census 1942 townships and communities slovak archives reel 3  box 190 file 1,slocvakk aarchives jewish xcgensus 1942 townships andxe coomemunitizees slovak archives reel 3  box 190 file 1,1,2,10,11.1111111111111
oslany,osjzdlany,1,1,3,66.6666666666667
genc,gelunuc,1,3,20,7.14285714285714
nadas,nalsdcas,1,1,5,50.0
rostar,msrojstar,0,0,1,NaN
cacov,caskchov,1,1,12,20.0
markusovce,smsarkuesovcte,0,0,35,0.0
pohorela,kpcohforelya,0,0,21,0.0
huty,houtyfy,1,12,85,1.8018018018018
krasno nad kys.,krpasno navmrcd kys.,1,1,3,66.6666666666667
ruzina,rkufzigna,1,4,12,7.14285714285714
pribovce,pgirioborvce,1,4,18,9.52380952380952
vrbovce,wovrbovckre,0,0,1,NaN
nizny svidnik,nizpnyn sviadunikk,1,2,4,33.3333333333333
mytna,mpcytnia,1,7,16,8.33333333333333
osuske,rosupskoe,0,0,9,0.0
sliace,sliagclme,1,5,35,4.76190476190476
krusetnica,kirusetniekkca,1,15,21,3.7037037037037
zemianske kostolany,qztemianske cfkostoladny,0,0,1,NaN
roztoky,rqozvtokuny,1,1,9,12.5
stola,vstpowla,0,0,30,0.0
kolenany,vkoletnganry,0,0,13,0.0
jovsa,jorvsyya,1,1,5,50.0
farkasovce,faroklasrovcre,1,3,4,33.3333333333333
holcikovce,hotlcikovpcgxe,1,17,30,2.77777777777778
nemcar,nrembcanr,1,1,2,100.0
osrblie,bozsrbhqlie,0,0,20,0.0
mikusovce,vsmyhikusovce,1,20,28,3.03030303030303
stos,fsktoos,0,0,5,0.0
chynorany,gchhvpynorany,1,3,4,33.3333333333333
predmier,predvmivpker,1,2,4,40.0
trnava hora,trnajivan thora,1,6,16,9.52380952380952
jakovany,jakqojpviany,1,1,4,40.0
brusnica,qsjbrusnivca,0,0,1,NaN
krajne,kroajpnne,1,3,19,8.57142857142857
podskolie,podskoqlqwpie,1,1,18,11.5384615384615
zavod,zdayvrod,1,1,2,100.0
myto pod dumbierom,myto ptthod dlumbierobm,1,4,5,25.0
racice,fraicicwe,0,0,4,0.0
medzany,nmedztaniny,0,0,7,0.0
kec. peklany,pkec. pekvwlaony,0,0,7,0.0
hunkovce,hunkocvmeace,1,6,30,5.12820512820513
nemecka lupca,jneymeczka lfuptca,0,0,5,0.0
petrmanovce,peabtrmanopgvce,1,3,18,8.0
cabalovce,cabalckcoavce,1,2,10,15.3846153846154
dulov,ldzyulov,1,1,2,100.0
tolcemes,qtenolcemmes,0,0,1,NaN
cropov,ckfrgopov,1,2,7,25.0
visny svidnik,xvilsvny svilzdnik,0,0,1,NaN
strazske,nstratozzske,0,0,8,0.0
kremnicka,oxkremnbickta,0,0,7,0.0
balpotok,ibalpojwtomk,0,0,2,0.0
mlynany,mlynvovyany,1,2,9,18.1818181818182
pukanec,ogpxupkanec,0,0,1,NaN
girovce,giuivrovzce,1,3,5,23.0769230769231
maly lipnik,malyld leipndik,1,1,3,66.6666666666667
kuty,kmcujty,1,23,90,1.47058823529412
moraviany,mofratvixasny,1,3,9,16.6666666666667
cierne,ceidcerne,1,9,10,9.09090909090909
kucin,okmubcin,0,0,1,NaN
slovak archives  jewish census 1942 townships and communities	slovak archives reel 2  box 183 file 3,selovfak archives  jewish celnsus 1942 townships cand communiusties	slovak tqarchbhives reel 2  box 183 kfile 3,1,10,11,10.0
nizne ladiskovce,enizne ladiwskeoyxvce,0,0,1,NaN
stanca,ustaasnca,0,0,4,0.0
trnove,trnbcovze,1,2,7,14.2857142857143
kostany nad turcom,kostacnye nadx ukturcom,1,1,4,66.6666666666667
valaska,vewvaplaska,1,22,30,2.77777777777778
bahoni,bxwiahoni,1,2,3,33.3333333333333
miglesov,miigtlesobgv,1,2,8,14.2857142857143
niznia jedlova,nimkznia jedxlzovqa,1,7,16,5.26315789473684
horne motesice,xthorbne moltesicze,0,0,1,NaN
kovarce,rkvgovarcye,0,0,9,0.0
trebisov,trenngmbisov,1,1,2,100.0
orechove,orecxnhovwne,1,2,8,12.5
nizny komarnik,vnciziny komparntik,0,0,8,0.0
slovak archives jewish census 1942 townships and communities slovak archives reel 3  box 187 file 7,slovak archivesb jewish censucs 194wag2 townships andd comvmuanitiest slovak archives reel 3  box 187 fiklae 7,1,1,3,50.0
sandorf,sgancdforrf,1,1,2,100.0
pliesovce,pblioersovpce,1,11,18,4.76190476190476
slovakia,qsnlovakizha,0,0,1,NaN
handlova,haunduloqfva,1,1,19,8.69565217391304
kelemes,kptelemekhs,1,3,6,20.0
lutina,lutoilhna,1,6,24,4.0
bela,jbelqoa,0,0,17,0.0
dezerice,ddeirzherice,1,15,18,5.26315789473684
oravka,woravvhka,0,0,1,NaN
drienov,drlienhvoov,1,1,6,42.8571428571429
vavrinec,vajvrfifneoc,1,2,5,20.0
velka causa,tvelka coauvsia,0,0,16,0.0
lubina,plqubiwna,0,0,16,0.0
zavadka nad hronom,zjgavadika nxad hronoim,1,1,2,100.0
slovak archives jewish census 1942 townships and communities slovak archives reel 3  box 188 file 5,slovak archives jewiash cqqensus 194v2 ztownshipst and communitimes slovak archives reepl 3  boxu 1y88 fiele 5,1,2,6,20.0
tegena,tcegepnja,1,1,16,9.52380952380952
melzenice,melyozeingice,1,6,25,5.12820512820513
banka,banuakna,1,14,18,3.7037037037037
domaniza,dodmoarnviza,1,2,17,10.0
medzibrod nad hronom,medrkzibrzod nad zhrzonom,1,1,5,40.0
koterbachy,kiotexrbbapchy,1,4,19,9.09090909090909
vyhne,vzkyhnue,1,1,25,12.9032258064516
circ,caqrirc,1,2,40,4.44444444444444
police headquarters in bratislava,polizcsxe heaxdquarters in brtnatnislava,1,4,16,9.09090909090909
nemecka poruba,nemeloicka porceuba,1,3,16,10.0
trencanska tepla,trejncanslkga bteqpla,1,1,16,18.1818181818182
krestar,kraeiisitar,1,1,2,100.0
vieska nad zitavou,viuespkaw nuad zitavfou,1,1,3,50.0
slovak archives - jewish census 1942 townships and communities reel 4  box 191 file 6,svlovak arcmhives - jemtwish census 1942 townushoiaps anddu communities reel 4  bogx 191 file 6,1,1,6,20.0
hlohovec,holoheovaekc,1,1,6,28.5714285714286
castkovce,bqcastkjovece,0,0,20,0.0
dohnany,idohnxagniy,0,0,1,NaN
velky kolacin,voelhvkcy kolancin,1,6,7,14.2857142857143
liskova,lisykwovkoa,1,7,24,3.33333333333333
brezovica nad tor.,brezrovica naxeid ltor.,1,1,2,100.0
vajnory,vafjnonroqy,1,8,13,6.66666666666667
hornie lelovce,horsrnuiej lealovce,1,7,30,4.16666666666667
vyhne labor camp,vyhnsze hlxabopr camp,1,1,3,66.6666666666667
rebrin,prebqorin,0,0,6,0.0
cervenica,cermveuunicka,1,3,9,10.0
niznie zbojne,nmfizniez zbdojgne,1,7,8,11.1111111111111
divin,dxeiuvin,1,2,4,40.0
klembarok,klembaajryock,1,2,5,28.5714285714286
janovce,jzanovvnice,1,3,5,20.0
slovak archives  jewish census 1942 townships and communities	slovak archives reel 2  box 185 file 5,slovak archiveks  jecwish cjensuqs 1942 towinships and communzities	vslovak archiwuves reel 2  box 1i85 fiple 5,1,4,6,20.0
giglovce,gigldovcmcee,1,2,5,20.0
visnia radvan,nvisnhiza rwadvean,0,0,2,0.0
zubrohlava,zrubdriolhlava,1,3,13,7.14285714285714
uhrovec,uqhroqpvqec,1,1,2,100.0
liptovska stiavnica,liptovska dsytiuvgavnica,1,1,24,11.7647058823529
lubietova,ublubioebtova,0,0,4,0.0
velka lihotka,dvtelkma lihontika,0,0,17,0.0
obeckov,onberckovlv,1,1,3,50.0
zdiar,ziddiaqr,1,1,3,66.6666666666667
gan,lgtzan,0,0,66,0.0
sumiac,sumfignac,1,3,6,25.0
velke uherce,velkhe uiherbxce,1,3,25,5.12820512820513
nizny orlik,wniznyd orlazik,0,0,1,NaN
vlachy,evlacnhly,0,0,1,NaN
kosicka bela,kosicika hbolela,1,7,21,7.14285714285714
kapusany,kanpkusdanpy,1,3,19,9.09090909090909
malacky,majllackyry,1,1,9,20.0
tarnava,gctcahrnava,0,0,3,0.0
srnie,sdrlniqe,1,25,35,1.63934426229508
prensov badan,prensyov vbmaedsan,1,1,6,33.3333333333333
ratkovo,lruhatbkovo,0,0,2,0.0
drietoma,dfjrixetomra,1,11,17,5.26315789473684
skyvov  ?,skyvoav qk i?,1,1,2,100.0
maly ruskov,mamltyz rusekov,1,2,8,15.3846153846154
chmelov,acwhmebhlov,0,0,2,0.0
lietnice,lmietnvicpce,1,2,17,6.25
stara lubovna,itxsnwtara lubovna,1,1,5,37.5
niklasov,dniklnazsaov,0,0,6,0.0
dobra niva,dleuobrva niva,1,14,17,5.26315789473684
ivanka pri dunaji,iivdadnhka prir dunaji,1,1,2,100.0
bajerov,vvbajilerov,0,0,7,0.0
kubachy,ksubacfhezy,1,14,19,4.54545454545455
vydrnik,mvrydrninsk,0,0,3,0.0
kiripolec,kiqrqxicpolec,1,1,3,80.0
dubora,dhupkbora,1,16,17,4.76190476190476
zvolenska slatina,zvcolzenvkska slhatina,1,3,13,13.3333333333333
turo,towufro,1,7,43,3.33333333333333
dravce,dprbavcpe,1,10,18,4.0
semetkovce,semeatkokdvcue,1,14,35,2.4390243902439
dolnie slazany,dolnie slvpazatnbly,1,1,7,25.0
krajna porubka,kpzrajnda pcoriubka,1,5,21,7.40740740740741
cary,caxbrqy,1,7,40,4.0
oponice,opckoonioce,1,1,8,30.0
kostolne,grkosotoilne,0,0,5,0.0
hasprunka,hasfrpsrdunka,1,2,19,9.09090909090909
tomasovce,taopmasgogvce,1,5,7,14.2857142857143
boleraz,bxolpheiraz,1,1,3,66.6666666666667
letanovce,lwetanohvgcbe,1,12,17,6.25
hrabovec,hlrsnabovesc,1,5,6,14.2857142857143
snina,sbnjinaa,1,4,41,4.0
slovak archives - jewish census 1942 townships and communities reel 4  box 191 file 5,slovaka archvhidves - jewish censduhs 1942 townshnips and cokmmuznvities reel 4  box 191 file 5,1,1,6,20.0
radimov,wyrdadcimov,0,0,1,NaN
terna,xtrernya,0,0,1,NaN
novaky,bnoavasky,0,0,6,0.0
straza,sswtrafza,1,15,41,2.8169014084507
rarbok,rroarlbok,1,4,5,25.0
lendak,lfendawhk,1,3,6,22.2222222222222
pocuradlo,pcocurbvadllo,1,1,2,100.0
durdos,ladurdvos,0,0,3,0.0
lubenik,luqbeenzrik,1,1,6,33.3333333333333
falkusovce,jfalkusjolvnce,0,0,5,0.0
velke kostolany,vjelkde kostmolajjny,1,2,13,13.3333333333333
lucky,nluvcrky,0,0,7,0.0
parnica,aparenikcha,0,0,1,NaN
okolicne,tokholicejne,0,0,7,0.0
spanie pole,spxanie jposlwe,1,10,35,2.4390243902439
grane petrovce,grpuanel npetrocvce,1,2,5,33.3333333333333
slovak archives  jewish census 1942 townships and communities slovak archives reel 3  box 189 file 4,slovak archaives  jeswish census 1942 townshilsps and communiaties slxovak archiorvems reel j3  bolx 189 file 4,1,1,8,14.2857142857143
kozarovce,wchkozyarovce,0,0,1,NaN
krna,kpmrsna,1,18,90,1.41843971631206
prensov,pghprwensov,1,3,7,18.1818181818182
hertnik,htertubnijk,1,4,5,20.0
nova bana,nnfovqao bana,1,1,16,15.7894736842105
hradiste,uharadihsfte,0,0,5,0.0
puchov,piwupchov,1,1,7,37.5
rozindol,ruleozindosl,1,1,2,100.0
bracovce,mboraacovcke,0,0,25,0.0
niznia nad oravou,nmoisznia qnad oravomu,1,2,3,33.3333333333333
hnojne,znhnojune,0,0,16,0.0
zborov nad bystr.,mzbojrov naud bydstrj.,0,0,1,NaN
pocenany,rpocenlanduy,0,0,9,0.0
duplin,hnduplvin,0,0,3,0.0
petrova ves,petorovjba vces,1,3,5,22.2222222222222
mosovce,mycosogvace,1,18,25,3.2258064516129
hricovske pohradie,hriucovskwrae pwohradie,1,6,30,5.40540540540541
stare,skdwtare,1,8,35,4.54545454545455
velky slivnik,velky slcrivnerick,1,7,8,12.5
zitna,zbcitnpa,1,2,13,10.0
bojnice,borjineicve,1,1,20,8.33333333333333
preselany,pzresvelyadny,1,2,7,25.0
niznie cabiny,hnizncie chabiensy,0,0,10,0.0
hudcovce,huvjdcovchve,1,24,30,2.77777777777778
petejovce,wxpetekjaovce,0,0,1,NaN
opoj,oxpvroj,1,3,20,9.09090909090909
lastovce,lqastozkvcxe,1,4,17,6.25
klace,takwlace,1,7,8,12.5
racistorf,fracistoapqrf,0,0,1,NaN
senica,senniwcia,1,7,42,2.46913580246914
radosovce,rawdoysokyvce,1,1,9,30.7692307692308
ivanovce,xivaznmoovce,0,0,1,NaN
kuklov,kufklxlov,1,1,11,18.75
trebasovo,ettroebasrovo,0,0,1,NaN
knazice,wwsknkazice,0,0,1,NaN
krupina,krupxizxuna,1,2,21,12.5
horovce,amhorowvcne,0,0,3,0.0
nizna sunava,aniozna sqzunava,0,0,1,NaN
horne obdiekovce,hornef ocbdielnkokvce,1,1,30,8.33333333333333
hornia suca,yhorniam szmuca,0,0,1,NaN
piarg,puiaxrrg,1,1,2,100.0
spisska sobota,spitsiska sobxooqta,1,1,41,7.69230769230769
biskupice,bieiiskupkice,1,3,20,7.40740740740741
pozdisovce,upouzdisbovjce,0,0,5,0.0
sered,sgliered,1,1,5,28.5714285714286
bratislava,brjzatisliaeva,1,1,18,16.0
bystricany,bybstriicvapny,1,1,6,28.5714285714286
rejdova,rejdiosvbga,1,10,12,7.14285714285714
zlate moravce,rzlkate morjrapvce,0,0,9,0.0
zakovce,bzarkhqovce,0,0,20,0.0
kaluza,kalruwzja,1,18,21,2.27272727272727
kamenica nad cirom,kamaenicaw naid cirotpm,1,3,4,25.0
topolcianky,toyplolcixanmky,1,2,8,25.0
hamborek,hambokholrek,1,1,5,33.3333333333333
ohradzany,ohravdszghany,1,2,3,50.0
horne jaseno,hormnew jnasleno,1,1,5,33.3333333333333
dolny lieskov,dolxny lwriesklosv,1,5,6,20.0
stara tura,starapp tumrva,1,34,41,1.96078431372549
zavadka,umzalvadtka,0,0,4,0.0
svrcinovec,szvfrcninovkec,1,3,6,16.6666666666667
istebnik,istteydbncik,1,1,2,100.0
bukovina,bubudkovinoa,1,7,18,4.34782608695652
kovalov,korvaoilyov,1,1,11,18.75
castkov,casztwkoauv,1,3,7,14.2857142857143
slovak archives  jewish census 1942 townships and communities	slovak archives reel 2  box 185 file 6,slovzak archhvirveabs  jewish ccensus h1942 townships andi communitjieos	slovak archives reel 2  box 185 file 6,1,4,6,20.0
kremnica,kremnfdoigca,1,1,21,12.9032258064516
torysky,tsorsyhscky,1,6,8,9.09090909090909
niznia polanka,nizynbika polwuanka,1,3,16,9.52380952380952
trstena,ytghirstena,1,1,2,100.0
hornie srnie,howrnaibe srnfie,1,6,30,5.40540540540541
visoka,kaviksoka,0,0,21,0.0
oscadnica,ohsiatcadnica,1,1,7,28.5714285714286
gombas,gpkoembas,1,1,5,44.4444444444444
slovak archives - jewish census 1942 townships and communities reel 4  box 192 file 309,slotvak archives - jewish censusads 1942 townsajhipvs and communities reel n4  bonx 192 filge 309,1,1,3,66.6666666666667
spisske pohradie,scpkisskei pohraaedie,1,6,35,4.8780487804878
brehy,sbrxenhy,0,0,12,0.0
rozlozna,treozloukzna,0,0,16,0.0
michalany nad torysou,muicphalanyk nbad ektorysou,1,1,4,50.0
budatin,djbouodatin,0,0,4,0.0
maly slivnik,makaly sldivnoik,1,2,3,33.3333333333333
kurov,cikuwrov,0,0,7,0.0
vieska,vipefskja,1,9,30,4.16666666666667
niznie slovinky,nizdnie ssslovbienky,1,1,7,22.2222222222222
hradiste pod vratnom,hrxadilrste epod vratnoum,1,1,2,100.0
podvysoka,posdvysogykra,1,5,16,4.76190476190476
svaty antol,svdaty ovantojl,1,2,3,50.0
lipt. hradok,lzipth. muhradok,1,5,6,14.2857142857143
rajec,rajbevec,1,1,2,100.0
krakovany,kraakkmojvany,1,9,19,7.40740740740741
slovak archives - jewish census 1942 townships and communities reel 4  box 192 file 1,slosvak archives - jewsvish census 1942 townshxicps anqknd commnunities reel q4  box 192 file 1,1,3,10,11.1111111111111
straze,sstarazee,1,15,35,3.2258064516129
abrahamovce,vazbrahamouvcze,0,0,25,0.0
sarfia,sfaxrhfia,1,11,41,2.0
diviaky nad nitricou,diviakvy nad hznidrtricou,1,1,3,66.6666666666667
kocovce,kuoacogvcme,1,6,19,4.54545454545455
sarbov,sailrrbov,1,4,11,9.09090909090909
andrejov,abnidyrejiov,1,1,2,100.0
dolne oresany,donplneme oremsany,1,1,7,20.0
zlatovce,euzlatolvcre,0,0,1,NaN
bijacovce,bijlaxtcovwce,1,8,20,7.40740740740741
visoka nad kisucou,visjokax hnnaad kisucou,1,2,3,50.0
maly bab,nmaliye barb,0,0,2,0.0
cierny balog,cicerny ibalohkg,1,1,2,100.0
zilina,zqtilimna,1,1,13,20.0
klatova nova ves,klyatomxvwa novca ves,1,1,6,33.3333333333333
dolne srnie,odolpne sqarnie,0,0,8,0.0
stary tekov,stlaray tfqekov,1,2,11,16.6666666666667
radvan nad hronom,radvfgan nad hjrnfonom,1,1,2,100.0
ratkova,xgragtkosva,0,0,1,NaN
sisov,sipzsbov,1,6,11,11.1111111111111
bzimy,bpzdimay,1,4,6,16.6666666666667
liestany,sloinesftany,0,0,12,0.0
lysa pod makytou,lvysa pod cmmladkytou,1,1,4,33.3333333333333
vydran,ylvydhran,0,0,1,NaN
ruzomberok,rzduzomwbjerok,1,1,5,33.3333333333333
dolny kubin,dolkngy kctubin,1,1,4,57.1428571428571
rovne,trovbune,0,0,7,0.0
kos,sjkios,0,0,188,0.0
lozorno,lozlozrqsno,1,1,2,100.0
pecovska nova ves,pecovska emnaovav voes,1,1,5,44.4444444444444
kuzmice,kuzbmiycbpe,1,4,19,9.09090909090909
stelbach,stxehlbtatch,1,1,3,66.6666666666667
siroke,lbsioroke,0,0,17,0.0
zborov,zwboryosv,1,6,7,16.6666666666667
horne oresany,dhsorbne onrersany,0,0,7,0.0
vitanova,zvxitansoova,0,0,13,0.0
modry kamen,modrby ukobamen,1,1,6,60.0
luky,eluiyky,0,0,2,0.0
visnie slovinky,visnie qsprnlovinkay,1,7,13,6.66666666666667
blazov,jblazznov,0,0,3,0.0
stara lehota,stara plehhrotva,1,16,41,1.96078431372549
hochetetno,wlhocghhetetno,1,1,2,100.0
spissky vlachoch,sgpissxky vlacwihowch,1,2,3,50.0
vradiste,vrkaaxdoiste,1,5,25,6.66666666666667
harmanovce nad toplou,hljarmanovdsce nad toroplou,1,2,3,33.3333333333333
hrabovcik,htrabgorvdcik,1,1,5,40.0
pobelnik,poobwlwelnik,1,1,6,40.0
rosina,etrosinda,0,0,2,0.0
stitnik,vtstitnrcik,0,0,8,0.0
koska,ekowjska,0,0,2,0.0
hloza,fdhhloza,1,1,2,100.0
borsky svaty jur,borsky svlzatoyg jurr,1,1,5,40.0
petrikovce,pehtriykorcvce,1,5,18,8.0
michalovce,cmicahhalgovce,0,0,10,0.0
svedlar,lsrsvezdlar,0,0,2,0.0
krnca,kmrcznca,1,7,21,5.12820512820513
olesna,codlsesna,0,0,9,0.0
oravsky podzamok,oiravskyu podzsamvozk,1,1,2,100.0
slovak archives jewish census 1942 townships and communities slovak archives reel 3  box 189 file 1,slovak abrchives jewish censubsv x1942d ltownships andy comtmunities kslovak archives reel 3  gbox u189 file 1,1,1,10,11.1111111111111
sekule,skeckulle,1,30,35,1.53846153846154
jablonka,jvxeabmlonka,1,3,5,16.6666666666667
ortutov,courtuutpov,0,0,7,0.0
lomne,tcqlomne,1,7,8,10.0
pusty fedymes,pfyluszty feodymes,1,1,5,33.3333333333333
lubotin,hldsubpotin,0,0,3,0.0
